iter	Passed	Remaining
940	1952	122
941	1954	120
942	1957	118
943	1961	116
944	1963	114
945	1965	112
946	1967	110
947	1969	108
948	1971	105
949	1973	103
950	1975	101
951	1977	99
952	1979	97
953	1981	95
954	1983	93
955	1985	91
956	1987	89
957	1988	87
958	1990	85
959	1992	83
960	1994	80
961	1996	78
962	1998	76
963	2000	74
964	2002	72
965	2004	70
966	2006	68
967	2008	66
968	2010	64
969	2012	62
970	2015	60
971	2018	58
972	2020	56
973	2022	53
974	2024	51
975	2026	49
976	2028	47
977	2030	45
978	2032	43
979	2034	41
980	2036	39
981	2037	37
982	2040	35
983	2042	33
984	2043	31
985	2045	29
986	2047	26
987	2049	24
988	2051	22
989	2053	20
990	2055	18
991	2057	16
992	2059	14
993	2061	12
994	2063	10
995	2065	8
996	2067	6
997	2069	4
998	2071	2
999	2073	0
